start_time_datetime,(All),,,
,,,,
Row Labels,Sum of start_time_hour,Count of start_time_datetime,Sum of duration_second,Sum of totalWeightSum
1 AM,,,,
:04,4,4,12,2459715
Strawberries,4,4,12,2459715
Mar,4,4,12,2459715
:07,8,8,56,3445440
Strawberries,8,8,56,3445440
Mar,8,8,56,3445440
:08,4,4,32,2095361
Strawberries,4,4,32,2095361
Mar,4,4,32,2095361
:12,7,7,77,5334120
Strawberries,7,7,77,5334120
Mar,7,7,77,5334120
:13,5,5,60,1796716
Strawberries,5,5,60,1796716
Mar,5,5,60,1796716
:16,8,8,124,6046112
Strawberries,8,8,124,6046112
Mar,8,8,124,6046112
:17,4,4,68,1718776
Strawberries,4,4,68,1718776
Mar,4,4,68,1718776
:20,4,4,80,321432
Strawberries,4,4,80,321432
Mar,4,4,80,321432
:21,4,4,80,4847408
Strawberries,4,4,80,4847408
Mar,4,4,80,4847408
:22,4,4,84,1801330
Strawberries,4,4,84,1801330
Mar,4,4,84,1801330
:28,9,9,243,2446127
Strawberries,9,9,243,2446127
Mar,9,9,243,2446127
:29,3,3,87,2770128
Strawberries,3,3,87,2770128
Mar,3,3,87,2770128
:30,3,3,87,714
Strawberries,3,3,87,714
Mar,3,3,87,714
:31,7,7,213,1499522
Strawberries,7,7,213,1499522
Mar,7,7,213,1499522
:33,4,4,132,2742264
Strawberries,4,4,132,2742264
Mar,4,4,132,2742264
:34,4,4,132,785464
Strawberries,4,4,132,785464
Mar,4,4,132,785464
:37,6,6,218,3757416
Strawberries,6,6,218,3757416
Mar,6,6,218,3757416
:38,3,3,114,1034000
Strawberries,3,3,114,1034000
Mar,3,3,114,1034000
:41,2,2,82,134656
Strawberries,2,2,82,134656
Mar,2,2,82,134656
:42,4,4,164,4561720
Strawberries,4,4,164,4561720
Mar,4,4,164,4561720
:43,3,3,126,1346537
Strawberries,3,3,126,1346537
Mar,3,3,126,1346537
:46,6,6,274,3963304
Strawberries,6,6,274,3963304
Mar,6,6,274,3963304
:47,5,5,235,995081
Strawberries,5,5,235,995081
Mar,5,5,235,995081
:50,1,1,50,77048
Strawberries,1,1,50,77048
Mar,1,1,50,77048
:51,4,4,200,4210256
Strawberries,4,4,200,4210256
Mar,4,4,200,4210256
:52,4,4,204,1142826
Strawberries,4,4,204,1142826
Mar,4,4,204,1142826
:55,6,6,326,4735584
Strawberries,6,6,326,4735584
Mar,6,6,326,4735584
:56,4,4,220,1213447
Strawberries,4,4,220,1213447
Mar,4,4,220,1213447
:28,,,,
:01,4,4,4,3219544
Strawberries,4,4,4,3219544
Mar,4,4,4,3219544
:02,3,3,5,2643856
Strawberries,3,3,5,2643856
Mar,3,3,5,2643856
:03,2,2,4,220
Strawberries,2,2,4,220
Mar,2,2,4,220
:04,5,5,15,1220232
Strawberries,5,5,15,1220232
Mar,5,5,15,1220232
:06,4,4,24,2602352
Strawberries,4,4,24,2602352
Mar,4,4,24,2602352
:07,5,5,30,1132934
Strawberries,5,5,30,1132934
Mar,5,5,30,1132934
:10,7,7,68,5768944
Strawberries,7,7,68,5768944
Mar,7,7,68,5768944
:11,4,4,44,1508050
Strawberries,4,4,44,1508050
Mar,4,4,44,1508050
:14,2,2,28,755488
Strawberries,2,2,28,755488
