,commodity,crawl_date,totalWeightSum
422,Strawberries,2020-07-20 01:31:39.485,557896
423,Strawberries,2020-07-20 01:31:39.481,5731984
424,Strawberries,2020-07-20 01:31:39.486,498008
425,Strawberries,2020-07-20 01:31:39.483,2670048
426,Strawberries,2020-07-20 01:31:36.656,66520
427,Strawberries,2020-07-20 01:31:36.655,56
428,Strawberries,2020-07-20 01:31:36.653,60
429,Strawberries,2020-07-20 01:31:36.568,107591
430,Strawberries,2020-07-20 01:31:36.566,44889
431,Strawberries,2020-07-20 01:31:35.605,1704824
432,Strawberries,2020-07-20 01:31:35.513,576064
433,Strawberries,2020-07-20 01:31:35.507,5906528
434,Strawberries,2020-07-20 01:31:35.511,1138616
435,Strawberries,2020-07-20 01:31:35.509,5326864
436,Strawberries,2020-07-20 01:31:32.677,54904
437,Strawberries,2020-07-20 01:31:32.675,4608
438,Strawberries,2020-07-20 01:31:32.644,28767
439,Strawberries,2020-07-20 01:31:32.642,21241
440,Strawberries,2020-07-20 01:31:32.117,122840
441,Strawberries,2020-07-20 01:31:32.107,14736
442,Strawberries,2020-07-20 01:31:32.104,524912
443,Strawberries,2020-07-20 01:31:32.105,24696
444,Strawberries,2020-07-20 01:31:32.102,205040
445,Strawberries,2020-07-20 01:31:30.611,173573
446,Strawberries,2020-07-20 01:31:30.425,49184
447,Strawberries,2020-07-20 01:31:30.424,32
448,Strawberries,2020-07-20 01:31:30.422,2736
449,Strawberries,2020-07-20 01:31:30.107,-236709
450,Strawberries,2020-07-20 01:31:30.109,236709
451,Strawberries,2020-07-20 01:31:30.105,101719
452,Strawberries,2020-07-20 01:31:30.104,69656
453,Strawberries,2020-07-20 01:31:29.229,43743
454,Strawberries,2020-07-20 01:31:28.278,45112
455,Strawberries,2020-07-20 01:31:28.187,3264
456,Strawberries,2020-07-20 01:31:28.184,1368920
457,Strawberries,2020-07-20 01:31:28.185,277064
458,Strawberries,2020-07-20 01:31:28.079,480888
459,Strawberries,2020-07-20 01:31:28.076,5142096
460,Strawberries,2020-07-20 01:31:28.077,499048
461,Strawberries,2020-07-20 01:31:28.074,3364288
462,Strawberries,2020-07-20 01:31:23.495,41328
463,Strawberries,2020-07-20 01:31:23.493,40
464,Strawberries,2020-07-20 01:31:23.492,1296
465,Strawberries,2020-07-20 01:31:23.418,11759
466,Strawberries,2020-07-20 01:31:23.416,34551
467,Strawberries,2020-07-20 01:31:22.336,1668728
468,Strawberries,2020-07-20 01:31:22.237,501480
469,Strawberries,2020-07-20 01:31:22.231,5303512
470,Strawberries,2020-07-20 01:31:22.235,531576
471,Strawberries,2020-07-20 01:31:22.233,3134896
472,Strawberries,2020-07-20 01:31:19.278,87992
473,Strawberries,2020-07-20 01:31:19.276,3372
474,Strawberries,2020-07-20 01:31:19.177,6233
475,Strawberries,2020-07-20 01:31:19.175,60056
476,Strawberries,2020-07-20 01:31:18.166,1723784
477,Strawberries,2020-07-20 01:31:18.082,374032
478,Strawberries,2020-07-20 01:31:18.077,5233136
479,Strawberries,2020-07-20 01:31:18.081,319216
480,Strawberries,2020-07-20 01:31:18.079,2443352
481,Strawberries,2020-07-20 01:31:15.141,78488
482,Strawberries,2020-07-20 01:31:15.061,1408
483,Strawberries,2020-07-20 01:31:15.059,82119
484,Strawberries,2020-07-20 01:31:14.006,3648
485,Strawberries,2020-07-20 01:31:14.004,2115984
486,Strawberries,2020-07-20 01:31:13.912,605968
487,Strawberries,2020-07-20 01:31:13.907,5519880
488,Strawberries,2020-07-20 01:31:13.910,662104
489,Strawberries,2020-07-20 01:31:13.908,3705544
490,Strawberries,2020-07-20 01:31:10.879,95376
491,Strawberries,2020-07-20 01:31:10.878,12216
492,Strawberries,2020-07-20 01:31:10.797,7999
493,Strawberries,2020-07-20 01:31:10.796,40953
494,Strawberries,2020-07-20 01:31:09.797,2625536
495,Strawberries,2020-07-20 01:31:09.707,515696
496,Strawberries,2020-07-20 01:31:09.703,6572504
497,Strawberries,2020-07-20 01:31:09.708,645528
498,Strawberries,2020-07-20 01:31:09.705,3778168
499,Strawberries,2020-07-20 01:31:06.870,44088
500,Strawberries,2020-07-20 01:31:06.868,3840
501,Strawberries,2020-07-20 01:31:06.795,953
502,Strawberries,2020-07-20 01:31:06.793,133153
503,Strawberries,2020-07-20 01:31:05.668,12160
504,Strawberries,2020-07-20 01:31:05.667,2541040
505,Strawberries,2020-07-20 01:31:05.574,613544
506,Strawberries,2020-07-20 01:31:05.570,6577784
507,Strawberries,2020-07-20 01:31:05.575,672840
508,Strawberries,2020-07-20 01:31:05.572,3748296
509,Strawberries,2020-07-20 01:31:02.685,34912
510,Strawberries,2020-07-20 01:31:02.687,48728
511,Strawberries,2020-07-20 01:31:02.683,11520
512,Strawberries,2020-07-20 01:31:02.654,8760
513,Strawberries,2020-07-20 01:31:02.652,123033
514,Strawberries,2020-07-20 01:31:02.042,426464
515,Strawberries,2020-07-20 01:31:02.028,12240
516,Strawberries,2020-07-20 01:31:02.024,278328
517,Strawberries,2020-07-20 01:31:02.026,24960
518,Strawberries,2020-07-20 01:31:00.092,59352
519,Strawberries,2020-07-20 01:31:00.094,26784
520,Strawberries,2020-07-20 01:31:00.090,16416
521,Strawberries,2020-07-20 01:31:00.089,8064
522,Strawberries,2020-07-20 01:30:59.793,202112
523,Strawberries,2020-07-20 01:30:59.791,141832
524,Strawberries,2020-07-20 01:30:57.962,41501
525,Strawberries,2020-07-20 01:30:57.933,80152
526,Strawberries,2020-07-20 01:30:57.851,17584
527,Strawberries,2020-07-20 01:30:57.849,2136808
528,Strawberries,2020-07-20 01:30:57.847,771480
529,Strawberries,2020-07-20 01:30:57.745,433976
530,Strawberries,2020-07-20 01:30:57.743,4834312
