,_id,originName,packageCntSum,totalWeightSum,districtName,season,transmode,impExpFlag,commodity,organic,reportDate,checksum_sha256,crawl_date,pdwDate
31,5f0fcf0e8b390b44eccaabfc,CALIFORNIA-CENTRAL,109065.0,872520,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,True,2020-07-08 00:00:00.000,283442aa0799da312950be625235084af3cf81eb9840afe8d1dc39fbf2a464db,2020-07-15 20:52:46.097,2020-03-29 15:15:12.000
32,5f0fcf0e8b390b44eccaabf9,CALIFORNIA-CENTRAL,620172.0,4961376,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,False,2020-07-08 00:00:00.000,db3f56185a4083fffafdaaa06d494b9830586ce6c8cb7bf255d830b983014f26,2020-07-15 20:52:46.092,2020-03-29 15:15:12.000
33,5f0fcf0b8b390b44eccaa966,CALIFORNIA-CENTRAL,48343.0,386744,SANTA MARIA,2020,Truck,D,Strawberries,True,2020-07-07 00:00:00.000,a5dc5330bf2bb96ef1c656ddd43bca82514c1b9fe490570f06990a0b4a5e41c5,2020-07-15 20:52:43.106,2020-03-29 15:15:12.000
34,5f0fcf0b8b390b44eccaa964,CALIFORNIA-CENTRAL,274762.0,2198096,SANTA MARIA,2020,Truck,D,Strawberries,False,2020-07-07 00:00:00.000,45ff7d8b12c7aa8833865c5e14240cb49183afa82cccb9cd7da6c59ea677321e,2020-07-15 20:52:43.102,2020-03-29 15:15:12.000
35,5f0fcf0b8b390b44eccaa967,CALIFORNIA-CENTRAL,116816.0,934528,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,True,2020-07-07 00:00:00.000,1ec9b77f2208ad0b36c509ac1c51ffa455408ce1e383f3beec58cac3ac326d86,2020-07-15 20:52:43.108,2020-03-29 15:15:12.000
36,5f0fcf0b8b390b44eccaa965,CALIFORNIA-CENTRAL,682327.0,5458616,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,False,2020-07-07 00:00:00.000,60392e422cb02e700d9f37b60cb5bc2ac68368cd03b7b1d06b6432f3e856644d,2020-07-15 20:52:43.104,2020-03-29 15:15:12.000
37,5f0fcf078b390b44eccaa62c,CALIFORNIA-CENTRAL,44512.0,356096,SANTA MARIA,2020,Truck,D,Strawberries,True,2020-07-06 00:00:00.000,2dbe568ae346276c899332df16c1e7c7613acf503d701d7699ef034e1a38d3e3,2020-07-15 20:52:39.932,2020-03-29 15:15:12.000
38,5f0fcf078b390b44eccaa62a,CALIFORNIA-CENTRAL,292047.0,2336376,SANTA MARIA,2020,Truck,D,Strawberries,False,2020-07-06 00:00:00.000,142a7fd5035f66100fa576a61fd73f84adc156ba2f35ff30593e87441a2e074e,2020-07-15 20:52:39.928,2020-03-29 15:15:12.000
39,5f0fcf078b390b44eccaa62d,CALIFORNIA-CENTRAL,103993.0,831944,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,True,2020-07-06 00:00:00.000,f2427a4ff963aecb646161c255d36a22bec6809f51bcde4d5d7614b202701d53,2020-07-15 20:52:39.933,2020-03-29 15:15:12.000
40,5f0fcf078b390b44eccaa62b,CALIFORNIA-CENTRAL,654355.0,5234840,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,False,2020-07-06 00:00:00.000,4c536bc411ce8b6417cc7d8837b15e416939511451946661d42b8caa7c49459e,2020-07-15 20:52:39.930,2020-03-29 15:15:12.000
41,5f0fcf058b390b44eccaa415,CALIFORNIA-CENTRAL,1746.0,13968,SANTA MARIA,2020,Truck,D,Strawberries,True,2020-07-05 00:00:00.000,b80f4fb239a2c8be96e5196a1f759b4a5ed96e93ca23dd19eacbd13b5cdae267,2020-07-15 20:52:37.205,2020-03-29 15:15:12.000
42,5f0fcf058b390b44eccaa414,CALIFORNIA-CENTRAL,13476.0,107808,SANTA MARIA,2020,Truck,D,Strawberries,False,2020-07-05 00:00:00.000,0167e6881f261a18d4d888df1fd824b4f48d4795be6da1129c1cc9583104916d,2020-07-15 20:52:37.203,2020-03-29 15:15:12.000
43,5f0fcf058b390b44eccaa413,CALIFORNIA-CENTRAL,1738.0,13904,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,False,2020-07-05 00:00:00.000,1a705f1de529f6c9e82bb15f235ae1fc57836fb9fa88856c43de523347560b03,2020-07-15 20:52:37.202,2020-03-29 15:15:12.000
44,5f0fcf028b390b44eccaa0fc,GUATEMALA,100741.89742152467,41862,IMPORTS THROUGH WILMINGTON (DELAWARE),2019,Boat,I,Strawberries,False,2020-07-04 00:00:00.000,c9c4545211e70e1c77bf300d4b1549cfe66953c5a030e50423ea1cc1590c1b6b,2020-07-15 20:52:34.563,2020-07-04 00:00:00.000
45,5f0fcf018b390b44ecca9f4d,CANADA,100741.89742152467,10067,IMPORTS THROUGH DETROIT,2020,Truck,I,Strawberries,False,2020-07-04 00:00:00.000,50bef39ca748625319d2d70ba81d2a94effdf6e7737667bde5ce0a92cb95a58e,2020-07-15 20:52:33.798,2020-07-04 00:00:00.000
46,5f0fcf018b390b44ecca9f4e,CANADA,100741.89742152467,2264,IMPORTS THROUGH DERBY LINE (VERMONT),2020,Truck,I,Strawberries,False,2020-07-04 00:00:00.000,14e95d6e95da2b73b6c0c6db38a32435b957d314cd367a9db21e5a40d31102d5,2020-07-15 20:52:33.800,2020-07-04 00:00:00.000
47,5f0fcf018b390b44ecca9f08,CALIFORNIA-CENTRAL,32356.0,258848,SANTA MARIA,2020,Truck,D,Strawberries,True,2020-07-04 00:00:00.000,048fa6ae2eec61424b692d91cf31973d98802072b5665090efcffe718c85f715,2020-07-15 20:52:33.673,2020-03-29 15:15:12.000
48,5f0fcf018b390b44ecca9f07,CALIFORNIA-CENTRAL,186093.0,1488744,SANTA MARIA,2020,Truck,D,Strawberries,False,2020-07-04 00:00:00.000,c928dbf7b216258e4891789e32367fc3e59e67ec2e87f6d8e870362cc8941df4,2020-07-15 20:52:33.672,2020-03-29 15:15:12.000
49,5f0fcf018b390b44ecca9f09,CALIFORNIA-CENTRAL,73329.0,586632,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,True,2020-07-04 00:00:00.000,f65a8bffbc9d134b76d53cdb791618f686c859ae912ef5d180e62bd8d61668a2,2020-07-15 20:52:33.675,2020-03-29 15:15:12.000
50,5f0fcf018b390b44ecca9f06,CALIFORNIA-CENTRAL,430301.0,3442408,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,False,2020-07-04 00:00:00.000,fceb1a179650eac459cdc2ece8d032551151c9d1d1b4757a28eff17e973f4591,2020-07-15 20:52:33.670,2020-03-29 15:15:12.000
51,5f0fcefd8b390b44ecca9c5b,CALIFORNIA-CENTRAL,42132.0,337056,SANTA MARIA,2020,Truck,D,Strawberries,True,2020-07-03 00:00:00.000,7ad3d8602cbc37a77f40a0045492b5299688528257e2e0ea903b0f3993e8a665,2020-07-15 20:52:29.695,2020-03-29 15:15:12.000
52,5f0fcefd8b390b44ecca9c58,CALIFORNIA-CENTRAL,214464.0,1715712,SANTA MARIA,2020,Truck,D,Strawberries,False,2020-07-03 00:00:00.000,2b9a601031ec15bf8dabe794b2c5d06aeea8019c3f08cf466e768f5f85be5eb3,2020-07-15 20:52:29.689,2020-03-29 15:15:12.000
53,5f0fcefd8b390b44ecca9c5a,CALIFORNIA-CENTRAL,84844.0,678752,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,True,2020-07-03 00:00:00.000,8b40083662f3cc4b191800366fb794f8cecf5e6223482c9ce07e1d4441e6fd61,2020-07-15 20:52:29.693,2020-03-29 15:15:12.000
54,5f0fcefd8b390b44ecca9c59,CALIFORNIA-CENTRAL,516799.0,4134392,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,False,2020-07-03 00:00:00.000,b543ff8351fbaecb39a1dcb72f3917d10d925d4b2d6b8a2bc278c191f07ba270,2020-07-15 20:52:29.691,2020-03-29 15:15:12.000
55,5f0fcefa8b390b44ecca996b,CALIFORNIA-CENTRAL,32361.0,258888,SANTA MARIA,2020,Truck,D,Strawberries,True,2020-07-02 00:00:00.000,72d84fb48265882df679aec5ba90fe7ab71951d06612e5ed4c2ff0f4bc66b21c,2020-07-15 20:52:26.763,2020-03-29 15:15:12.000
56,5f0fcefa8b390b44ecca996a,CALIFORNIA-CENTRAL,209452.0,1675616,SANTA MARIA,2020,Truck,D,Strawberries,False,2020-07-02 00:00:00.000,96939ef4fefd7563830080d19cea5c6b76d3eedb07567bd96cd5d8d96c828803,2020-07-15 20:52:26.761,2020-03-29 15:15:12.000
57,5f0fcefa8b390b44ecca996c,CALIFORNIA-CENTRAL,86138.0,689104,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,True,2020-07-02 00:00:00.000,9f91a9f30d7cc1fdd3b502a40abef882941c816313f839faa74a72c9294da2ef,2020-07-15 20:52:26.764,2020-03-29 15:15:12.000
58,5f0fcefa8b390b44ecca9969,CALIFORNIA-CENTRAL,515343.0,4122744,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,False,2020-07-02 00:00:00.000,8a4c24325b8258ad58d75e85349367bf04dd6b8ae5a51f33050ada0fed4b59c6,2020-07-15 20:52:26.759,2020-03-29 15:15:12.000
59,5f0fcef78b390b44ecca9638,CALIFORNIA-CENTRAL,34425.0,275400,SANTA MARIA,2020,Truck,D,Strawberries,True,2020-07-01 00:00:00.000,bcf0e5bec77b4d501adb8dc81118aade53ee5bc8ee84bf02b418d4d4c92b89c8,2020-07-15 20:52:23.597,2020-03-29 15:15:12.000
60,5f0fcef78b390b44ecca9636,CALIFORNIA-CENTRAL,242475.0,1939800,SANTA MARIA,2020,Truck,D,Strawberries,False,2020-07-01 00:00:00.000,06692bdb583c829ba6eacff88d5f41c3fefe28a8de8db36f0db231b2a42406cc,2020-07-15 20:52:23.593,2020-03-29 15:15:12.000
61,5f0fcef78b390b44ecca9639,CALIFORNIA-CENTRAL,97812.0,782496,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,True,2020-07-01 00:00:00.000,1795f4d309ebe1ac8a28417f3ba8e8bfa5e1eee49a1e6aa745125cecc5b8b7d5,2020-07-15 20:52:23.598,2020-03-29 15:15:12.000
62,5f0fcef78b390b44ecca9637,CALIFORNIA-CENTRAL,626719.0,5013752,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,False,2020-07-01 00:00:00.000,05f4f8f1f729b45a45ad0655b089d30dbc81edc12fd868bba83e0fb5a5a30b5c,2020-07-15 20:52:23.595,2020-03-29 15:15:12.000
63,5f0fcef48b390b44ecca9321,CALIFORNIA-CENTRAL,44011.0,352088,SANTA MARIA,2020,Truck,D,Strawberries,True,2020-06-30 00:00:00.000,b41f471e2ade63ca2c795372d2d601f31eb55358a8456f6e1ca4b62fc121de58,2020-07-15 20:52:20.262,2020-03-29 15:15:12.000
64,5f0fcef48b390b44ecca931f,CALIFORNIA-CENTRAL,278323.0,2226584,SANTA MARIA,2020,Truck,D,Strawberries,False,2020-06-30 00:00:00.000,ebe1b938968f9b6f4471deab4b7a57e5d0549a123fb23798e65c0b4f717caa3b,2020-07-15 20:52:20.259,2020-03-29 15:15:12.000
65,5f0fcef48b390b44ecca9322,CALIFORNIA-CENTRAL,116072.0,928576,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,True,2020-06-30 00:00:00.000,40833503c7e77bb701214daf3bf387c7746da5acb204ef42c3dfea90229a0cec,2020-07-15 20:52:20.264,2020-03-29 15:15:12.000
66,5f0fcef48b390b44ecca9320,CALIFORNIA-CENTRAL,687493.0,5499944,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,False,2020-06-30 00:00:00.000,adfd9db7c6a431a78e58f3d1dd3835021ec358a4ecd674ac5f344653b3f30612,2020-07-15 20:52:20.260,2020-03-29 15:15:12.000
67,5f0fcef18b390b44ecca8fda,CALIFORNIA-CENTRAL,50679.0,405432,SANTA MARIA,2020,Truck,D,Strawberries,True,2020-06-29 00:00:00.000,6351bd1eda65bef58a0cb7e190b8e3e17b5f300b99c7c85e4b4598270d80f4f9,2020-07-15 20:52:17.083,2020-03-29 15:15:12.000
68,5f0fcef18b390b44ecca8fd8,CALIFORNIA-CENTRAL,291380.0,2331040,SANTA MARIA,2020,Truck,D,Strawberries,False,2020-06-29 00:00:00.000,c258bc099c903aebf46b359c776dcf09dde757ed103049321c930a2d5023eda7,2020-07-15 20:52:17.080,2020-03-29 15:15:12.000
69,5f0fcef18b390b44ecca8fd9,CALIFORNIA-CENTRAL,110493.0,883944,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,True,2020-06-29 00:00:00.000,bb42b29f3178eee1fc3b6ba2f816c6a55116c1aa23b95664292aaa92d56a1c48,2020-07-15 20:52:17.082,2020-03-29 15:15:12.000
70,5f0fcef18b390b44ecca8fd7,CALIFORNIA-CENTRAL,670331.0,5362648,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,False,2020-06-29 00:00:00.000,030a13459b8ee82ce139e8169f884e6f45f16fdcaf6bb4bdaca3465b523fa2f5,2020-07-15 20:52:17.078,2020-03-29 15:15:12.000
71,5f0fceee8b390b44ecca8e02,CALIFORNIA-CENTRAL,540.0,4320,SANTA MARIA,2020,Truck,D,Strawberries,True,2020-06-28 00:00:00.000,f175c0cbc4275963486ef0627136047af372a30fbec7517bb49c2beb0ba7332d,2020-07-15 20:52:14.404,2020-03-29 15:15:12.000
72,5f0fceee8b390b44ecca8e00,CALIFORNIA-CENTRAL,17116.0,136928,SANTA MARIA,2020,Truck,D,Strawberries,False,2020-06-28 00:00:00.000,a5538b74418331adbebf855b601658a54f357a3f379862d53593352ad02b4bb4,2020-07-15 20:52:14.400,2020-03-29 15:15:12.000
73,5f0fceee8b390b44ecca8e01,CALIFORNIA-CENTRAL,10171.0,81368,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,False,2020-06-28 00:00:00.000,567e69501803db3fa4ce3bc6c5289e07f56dc5b8b453c11aa9caa027fd3ab1b3,2020-07-15 20:52:14.402,2020-03-29 15:15:12.000
74,5f0fceec8b390b44ecca8c79,MEXICO,100741.89742152467,54285,IMPORTS THROUGH NEWARK-ELIZABETH (NJ),2019,Boat,I,Strawberries,False,2020-06-27 00:00:00.000,734b31edc2907ec277d1968360aafb12f7c7b9817446cddd86eaf525fe7e8781,2020-07-15 20:52:12.561,2020-06-27 00:00:00.000
75,5f0fceeb8b390b44ecca8aa3,GUATEMALA,100741.89742152467,30723,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,2019,Boat,I,Strawberries,False,2020-06-27 00:00:00.000,b88afddf2b0b6d9b4b91d9de0c58e8b2568602ed62b3d21b20d652a4acbaeb83,2020-07-15 20:52:11.743,2020-06-27 00:00:00.000
76,5f0fceeb8b390b44ecca898b,COSTA RICA,100741.89742152467,13,IMPORTS THROUGH SAN JUAN (PUERTO RICO),2019,Boat,I,Strawberries,False,2020-06-27 00:00:00.000,75851d885abefc42d8ae48a06d577cfcf2d7b028d4da3b6c4804d9960a6d822e,2020-07-15 20:52:11.247,2020-06-27 00:00:00.000
77,5f0fceea8b390b44ecca88b7,CANADA,100741.89742152467,35813,IMPORTS THROUGH DETROIT,2020,Truck,I,Strawberries,False,2020-06-27 00:00:00.000,07f6eb8d3478225bf4bbabcc45032766c63a84d609a48d2a6934fdb010219ba3,2020-07-15 20:52:10.867,2020-06-27 00:00:00.000
78,5f0fceea8b390b44ecca884b,CALIFORNIA-CENTRAL,29286.0,234288,SANTA MARIA,2020,Truck,D,Strawberries,True,2020-06-27 00:00:00.000,e3929ff6843c5c2163d0f91cb22dec96be335af72e3d481a816aaedff40983ef,2020-07-15 20:52:10.677,2020-03-29 15:15:12.000
79,5f0fceea8b390b44ecca8849,CALIFORNIA-CENTRAL,222978.0,1783824,SANTA MARIA,2020,Truck,D,Strawberries,False,2020-06-27 00:00:00.000,ff0612c55a3988a588499c70ab3840dc4fab590b6b7784338b1da6e7b1b374e2,2020-07-15 20:52:10.673,2020-03-29 15:15:12.000
80,5f0fceea8b390b44ecca884c,CALIFORNIA-CENTRAL,75004.0,600032,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,True,2020-06-27 00:00:00.000,a3fa1d01e1593ee31dd9444f22142c38841f70f69a1f683c14454d3f703287eb,2020-07-15 20:52:10.679,2020-03-29 15:15:12.000
81,5f0fceea8b390b44ecca884a,CALIFORNIA-CENTRAL,520024.0,4160192,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,False,2020-06-27 00:00:00.000,1a0c21ce0660346683a350c61f5d5fb462f47df02da3d0c7ebe7c6f8cd1ee666,2020-07-15 20:52:10.675,2020-03-29 15:15:12.000
82,5f0fcee68b390b44ecca852f,CALIFORNIA-CENTRAL,41245.0,329960,SANTA MARIA,2020,Truck,D,Strawberries,True,2020-06-26 00:00:00.000,dd494f7bec25172cd62aaff866ec4f6bab719f90698bdecb1e86a54abfc481fb,2020-07-15 20:52:06.330,2020-03-29 15:15:12.000
83,5f0fcee68b390b44ecca852d,CALIFORNIA-CENTRAL,244026.0,1952208,SANTA MARIA,2020,Truck,D,Strawberries,False,2020-06-26 00:00:00.000,0e67b9c1ea8c080b5f1bcda3ba6ee43b6dbfb43fa4c7e411d1e1692636337834,2020-07-15 20:52:06.326,2020-03-29 15:15:12.000
84,5f0fcee68b390b44ecca852e,CALIFORNIA-CENTRAL,84195.0,673560,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,True,2020-06-26 00:00:00.000,547855cfed4392175d3e645684f2a612500df39d77f48a654d533d9e1fa5a4d2,2020-07-15 20:52:06.328,2020-03-29 15:15:12.000
